[2026-01-31 23:23:13] [INFO    ] discord.client: logging in using static token
[2026-01-31 23:23:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-01-31 23:23:13] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-01-31 23:23:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1462856848687501483', 'username': 'zhipa_bot', 'avatar': '92bb1cd903d866982a06b6c6cecf916f', 'discriminator': '7877', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '75e6c6f29fb9e61f03e2ab9411412d6f', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-01-31 23:23:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-01-31 23:23:13] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-01-31 23:23:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1462856848687501483', 'name': 'Жоня', 'icon': '92bb1cd903d866982a06b6c6cecf916f', 'description': 'Хто зробив- @lisel342', 'type': None, 'bot': {'id': '1462856848687501483', 'username': 'zhipa_bot', 'avatar': '92bb1cd903d866982a06b6c6cecf916f', 'discriminator': '7877', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '75e6c6f29fb9e61f03e2ab9411412d6f', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'c2eab2a7c4911a3a2f8665048d98b36eaee98487ee0b68c644fde23abd96d866', 'flags': 557312, 'tags': ['moderate', 'chat'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '953350780012863530', 'username': 'lisel342', 'avatar': '9ac927431a4d76854759a167ce23f246', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 6045232, 'global_name': 'granny trollface', 'avatar_decoration_data': {'asset': 'a_c3cffc19e9784f7d0b005eecdf1b566e', 'sku_id': '1212569433839636530', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#5c3e30', 'clan': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}, 'primary_guild': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}}, 'approximate_guild_count': 2, 'approximate_user_install_count': 1, 'approximate_user_authorization_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2278, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-01-31 23:23:13] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-01-31 23:23:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-hb6t",{"micros":0.0}]']}}
[2026-01-31 23:23:13] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-01-31 23:23:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
